PRPlots,Nursery,Pedigree,Source,Family,Level,SHGD_Donor,Haploids,Pollination,DH,Rate
100,CONV_NUR2023,LH82*PHG47-B-B-8-1-1-B-B X SHGD_DH_243,2022MOB_PR:100,LH82*PHG47,DH,243,29,9,2,6.90
105,CONV_NUR2023,B73*PH207-B-B-9-1-1-B-B X SHGD_DH_097,2022MOB_PR:105,B73*PH207,DH,97,21,3,2,9.52
106,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X SHGD_DH_243,2022MOB_PR:106,LH82*PHG35,DH,243,18,7,3,16.67
107,CONV_NUR2023,LH82*PHG47-B-B-12-1-1-B-B X SHGD_DH_243,2022MOB_PR:107,LH82*PHG47,DH,243,24,4,1,4.17
108,CONV_NUR2023,PH207*PHG39-B-B-26-1-1-B-B X SHGD_DH_097,2022MOB_PR:108,PH207*PHG39,DH,97,16,3,0,0.00
113,CONV_NUR2023,B73*PH207-B-B-9-1-1-B-B X SHGD_DH_243,2022MOB_PR:113,B73*PH207,DH,243,8,1,1,12.50
114,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X SHGD_DH_243,2022MOB_PR:114,LH82*PHG35,DH,243,19,4,0,0.00
115,CONV_NUR2023,LH82*PHG47-B-B-18-1-1-B-B X SHGD_DH_243,2022MOB_PR:115,LH82*PHG47,DH,243,21,7,3,14.29
116,CONV_NUR2023,PH207*PHG39-B-B-26-1-1-B-B X SHGD_DH_243,2022MOB_PR:116,PH207*PHG39,DH,243,18,8,4,22.22
121,CONV_NUR2023,B73*PHG39-B-B-18-1-1-B-B X SHGD_DH_097,2022MOB_PR:121,B73*PHG39,DH,97,12,3,2,16.67
122,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X SHGD_DH_243,2022MOB_PR:122,LH82*PHG35,DH,243,19,2,0,0.00
123,CONV_NUR2023,LH82*PHG47-B-B-25-1-1-B-B X SHGD_DH_243,2022MOB_PR:123,LH82*PHG47,DH,243,11,5,3,27.27
124,CONV_NUR2023,PHG35*PHG47-B-B-10-1-1-B-B X SHGD_DH_243,2022MOB_PR:124,PHG35*PHG47,DH,243,23,4,3,13.04
129,CONV_NUR2023,B73*PHG39-B-B-18-1-1-B-B X SHGD_DH_243,2022MOB_PR:129,B73*PHG39,DH,243,11,5,2,18.18
130,CONV_NUR2023,LH82*PHG35-B-B-30-1-1-B-B X SHGD_DH_243,2022MOB_PR:130,LH82*PHG35,DH,243,16,4,2,12.50
131,CONV_NUR2023,LH82*PHG47-B-B-6-1-1-B-B X SHGD_DH_243,2022MOB_PR:131,LH82*PHG47,DH,243,14,6,0,0.00
132,CONV_NUR2023,PHG35*PHG47-B-B-12-1-1-B-B X SHGD_DH_243,2022MOB_PR:132,PHG35*PHG47,DH,243,7,0,0,0.00
137,CONV_NUR2023,PHG35*PHG47-B-B-21-1-1-B-B X SHGD_DH_097,2022MOB_PR:137,PHG35*PHG47,DH,97,25,2,2,8.00
138,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_02,2022MOB_PR:138,LH82*PHG35,DH,97,23,2,1,4.35
139,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_10,2022MOB_PR:139,LH82*PHG35,DH,97,8,2,2,25.00
140,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-243cyc2_DH_06,2022MOB_PR:140,LH82*PHG35,DH,243,21,1,1,4.76
145,CONV_NUR2023,PHG35*PHG47-B-B-21-1-1-B-B X SHGD_DH_243,2022MOB_PR:145,PHG35*PHG47,DH,243,21,7,4,19.05
1457,CONV_NUR2023,PHW52 * Kitale II-B-8Y-3-B x  SHGD_097,2022-23MOB_PR:1457,PHW52 * KII,DH,97,20,5,1,5.00
1458,CONV_NUR2023,LH185*Kitale II-B-4Y-3-B x  SHGD_097,2022-23MOB_PR:1458,LH185*KII,DH,97,24,1,0,0.00
1459,CONV_NUR2023,PHW52 * Kitale II-B-6Y-2-B x  SHGD_097,2022-23MOB_PR:1459,PHW52 * KII,DH,97,28,5,2,7.14
146,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_03,2022MOB_PR:146,LH82*PHG35,DH,97,13,1,1,7.69
1460,CONV_NUR2023,PHW52 * Kitale II-B-8Y-4-B x  SHGD_097,2022-23MOB_PR:1460,PHW52 * KII,DH,97,13,3,1,7.69
1461,CONV_NUR2023,PHZ51*Kitale II-B-13Y-1-B x  SHGD_097,2022-23MOB_PR:1461,PHZ51*KII,DH,97,22,4,1,4.55
147,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_11,2022MOB_PR:147,LH82*PHG35,DH,97,15,1,1,6.67
1492,CONV_NUR2023,PHW52 * Kitale II-B-4Y-9-B x  SHGD_097,2022-23MOB_PR1492,PHW52 * KII,DH,97,9,1,1,11.11
1493,CONV_NUR2023,PHZ51*Kitale II-B-8Y-2-B x  SHGD_243,2022-23MOB_PR:1493,PHZ51*KII,DH,243,27,6,4,14.81
1494,CONV_NUR2023,PHW52 * Kitale II-B-8Y-2-B x  SHGD_097,2022-23MOB_PR1494,PHW52 * KII,DH,97,6,2,1,16.67
1528,CONV_NUR2023,PHW52 * Kitale II-B-4Y-4-B x  SHGD_097,2022-23MOB_PR:1528,PHW52 * KII,DH,97,15,2,0,0.00
1529,CONV_NUR2023,PHW52 * Kitale II-B-4Y-2-B x  SHGD_097,2022-23MOB_PR:1529,PHW52 * KII,DH,97,33,4,1,3.03
153,CONV_NUR2023,PHG35*PHG47-B-B-28-1-1-B-B X SHGD_DH_243,2022MOB_PR:153,PHG35*PHG47,DH,243,26,6,1,3.85
1530,CONV_NUR2023,PHW52 * Kitale II-B-8Y-1-B x  SHGD_097,2022-23MOB_PR:1530,PHW52 * KII,DH,97,17,2,0,0.00
1531,CONV_NUR2023,LH185*Kitale II-B-4Y-1-B x  SHGD_097,2022-23MOB_PR:1531,LH185*KII,DH,97,22,4,2,9.09
154,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_04,2022MOB_PR:154,LH82*PHG35,DH,97,17,1,1,5.88
155,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_13,2022MOB_PR:155,LH82*PHG35,DH,97,27,0,0,0.00
156,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-097cyc2_DH_02,2022MOB_PR:156,LH82*PHG35,DH,97,15,3,1,6.67
1562,CONV_NUR2023,PHG84*Kitale II-B-2Y-2-B x  SHGD_097,2022-23MOB_PR:1562,PHG84*KII,DH,97,32,2,0,0.00
